relative_path,file_name,extension,size,modified_timestamp,sha256,category_guess,confidence,relationship,note
NEWNAME.SET\GLOBAL\MXPRESET.MXP,MXPRESET.MXP,.mxp,1943,2007-06-28T09:46:14+00:00,5dc17e12f4046d51c375de81519d7b6efba4effb0ba27f2c8011a9cc01efb51c,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\GLOBAL\SETUP.GBL,SETUP.GBL,.gbl,3381,2007-06-28T09:46:14+00:00,9fb029a8028ee916c704f25c14da8df06b34dad82ee008dd61c43f8106f63dcb,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\GLOBAL\VPPRESET.VOC,VPPRESET.VOC,.voc,34304,2007-06-28T09:46:14+00:00,b12f1e0272ce324d4f05de8af5e4901458c75357cec63506609a47bec048235b,possible_unknown_binary,0.35,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER01.PAD,USER01.PAD,.pad,17435,2007-06-28T09:46:20+00:00,eee8da65a59e3d1b0bbc5bba7b161609f64d7c3b1662edf0d604a78ac6f9c9ef,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER02.PAD,USER02.PAD,.pad,4547,2007-06-28T09:46:20+00:00,daac4a61b31de1d4fda1c471ef6a0988c2fe684255edafdc7f48a42881447f6b,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER03.PAD,USER03.PAD,.pad,15443,2007-06-28T09:46:20+00:00,9e078e6c571f468d25132d87fc6fa70d1ae03914b46ec40f4fb6f93fbbd316f9,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER04.PAD,USER04.PAD,.pad,3580,2007-06-28T09:46:20+00:00,f6d5cae9186570b1d77585378e7210417e373818d51e3f4b23e7d542c1f63622,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER05.PAD,USER05.PAD,.pad,3302,2007-06-28T09:46:20+00:00,71fd4d8c3dedfcc7b8005ae40184b919e5f34ccbea12010d3b6a1b7a53aa7e99,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER06.PAD,USER06.PAD,.pad,3648,2007-06-28T09:46:20+00:00,f04eecc0d7b49947196f9dcff388c3ef14d01740a13326b955b155b4cc907963,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER07.PAD,USER07.PAD,.pad,877,2007-06-28T09:46:20+00:00,1ded0af4fdaa9b0636c74866a476d01a0710d6ee5a0ba3cb27399f9adb6ed748,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
NEWNAME.SET\PAD\USER08.PAD,USER08.PAD,.pad,529,2007-06-28T09:46:20+00:00,ce38647c59335ab1defd831ce563776e20c22f7402288f83fd41a470a156db30,possible_performance_file,0.6,UNKNOWN,Binary structure is not parsed in V31; relationships are conservative metadata hypotheses.
