"train","name","role","status"
"V1767-V1816","Big Launch Train 01","launch control foundation","READY"
"V1817-V1866","Big Launch Train 02","website sales products","READY"
"V1867-V1916","Big Launch Train 03","legal orders support placeholders","READY"
"V1917-V1966","Big Launch Train 04","libraries offers delivery templates","READY"
"V1967-V2016","Big Launch Train 05","freeze QA rehearsal","READY"
"V2017-V2066","Big Launch Train 06","final command center","READY"
"V2067-V2116","Big Launch Train 07","launch super portal","READY"
"V2117-V2166","Big Launch Train 08","public candidate assembly disabled","READY_LOCKED"
"V2167-V2216","Big Launch Train 09","commercial activation readiness locked","READY_LOCKED"
"V2217-V2266","Big Launch Train 10","launch assets consolidation","READY_LOCKED"
"V2267-V2316","Big Launch Train 11","owner final handoff binder","READY"
"V2317-V2366","Big Launch Train 12","opening rehearsal signature pack","READY"
"V2367-V2416","Big Launch Train 13","final local rehearsal evidence","READY"
"V2417-V2466","Big Launch Train 14","archive openers backup index","READY"
"V2467-V2516","Big Launch Train 15","backup acceptance final freeze","READY"
"V2517-V2566","Big Launch Train 16","owner one-click launch room","READY_LOCKED"
"V2567-V2616","Big Launch Train 17","owner docs preactivation locker","READY_LOCKED"
"V2617-V2666","Big Launch Train 18","locked activation simulator","READY_LOCKED"
"V2667-V2716","Big Launch Train 19","final local site QA link safety audit","READY"
"V2717-V2766","Big Launch Train 20","Germany legal tax readiness room","READY_PLACEHOLDER"
"V2767-V2816","Big Launch Train 21","German public-facing final pack","READY_PLACEHOLDER"
"V2817-V2866","Big Launch Train 22","multilingual public pack","READY_LOCKED"
"V2867-V2916","Big Launch Train 23","customer onboarding waitlist disabled","READY_DISABLED"
"V2917-V2966","Big Launch Train 24","manual sales desk invoice disabled","READY_DISABLED"
"V2967-V3016","Big Launch Train 25","launch day operator console","READY_LOCKED"
"V3017-V3066","Big Launch Train 26","final readiness scoreboard owner bridge","READY_LOCKED"
"V3067-V3116","Big Launch Train 27","owner document intake applier dryrun","READY_DRYRUN"
"V3117-V3166","Big Launch Train 28","final countdown owner daily command board","READY_LOCKED"
"V3167-V3216","Big Launch Train 29","backup restore drill final recovery room","READY_DRYRUN"
"V3217-V3266","Big Launch Train 30","final master launch binder proof room","READY_LOCKED"
