"path","status","reason"
"parser","CLOSED","V1723B all groups Tier4; no Tier1/Tier2/Tier3 route"
"pcm_payload_parse","BLOCKED","No explicit owner approval and legal/safety risk"
"sample_decode","BLOCKED","Forbidden by project safety rules"
"keyboard_binary_writer","BLOCKED","No SET/PCM/STY/KMP/KSF writer allowed"
"usb_hardware_load","BLOCKED","No USB or hardware load allowed"
"pa3x_ready_claim","BLOCKED","No lawful proof / no real keyboard output"
"payment","DISABLED","Requires explicit owner approval and legal/tax/payment readiness"
"deploy","BLOCKED","Requires explicit owner approval"
"real_invoice","BLOCKED","Requires confirmed business/tax/invoice rules"
"automatic_delivery","BLOCKED","Manual owner review required"
