"block","name","status"
"V1767-V1816","Launch Control","READY"
"V1817-V1866","Website Sales Products","READY"
"V1867-V1916","Legal Orders Support","READY_PLACEHOLDER"
"V1917-V1966","Libraries Offers Delivery","READY_MANUAL_ONLY"
"V1967-V2016","Launch Freeze QA Rehearsal","READY"
"V2017-V2066","Final Command Center","READY_LOCKED"
"V2067-V2116","Launch Super Portal","READY"
"V2117-V2166","Public Candidate Assembly","READY_DISABLED"
"V2167-V2216","Commercial Activation Readiness","READY_LOCKED"
"V2217-V2266","Final Launch Assets Consolidation","READY_LOCKED"
"V2267-V2316","Owner Final Handoff Binder","READY"
"V2317-V2366","Opening Day Rehearsal Signature Pack","READY"
"V2367-V2416","Final Local Rehearsal Evidence Pack","READY"
