"block","name","status","score"
"V2067-V2116","Launch Super Portal","READY","100"
"V2117-V2166","Public Candidate Assembly","READY_DISABLED","95"
"V2167-V2216","Commercial Activation Readiness","READY_LOCKED","90"
"V2217-V2266","Final Launch Assets","READY_LOCKED","95"
"V2267-V2316","Owner Final Handoff Binder","READY","100"
"V2317-V2366","Opening Rehearsal Signature Pack","READY","100"
"V2367-V2416","Final Local Evidence Pack","READY","100"
"V2417-V2466","Archive Openers Backup Index","READY","100"
"V2467-V2516","Backup Acceptance Final Freeze","READY","100"
"V2517-V2566","Owner One-Click Launch Room","READY_LOCKED","100"
"V2567-V2616","Owner Docs Preactivation Locker","READY_LOCKED","90"
"V2617-V2666","Locked Activation Simulator","READY_LOCKED","100"
"V2667-V2716","Final Local Site QA","READY","95"
"V2717-V2766","Germany Legal Tax Readiness","READY_PLACEHOLDER","85"
"V2767-V2816","German Public Facing Pack","READY_PLACEHOLDER","90"
"V2817-V2866","Multilingual Public Pack","READY_LOCKED","95"
"V2867-V2916","Customer Onboarding Waitlist","READY_DISABLED","95"
"V2917-V2966","Manual Sales Desk Invoice Disabled","READY_DISABLED","95"
"V2967-V3016","Launch Day Operator Console","READY_LOCKED","100"
"V3017-V3066","Final Readiness Scoreboard","READY_LOCKED","100"
