"final_id","review_id","extension","source_top_folder","relative_path","classification","risk_tier","bytes","blocked_reason","owner_decision","owner_notes","final_action","final_writer_mode","final_safe_copy_allowed","final_writer_ready","source_file_copied","keyboard_output_generated","usb_write","hardware_load","deploy","payment"
"V1713-F0001","V1712-R0001",".bkp","_ROOT","NewName.BKP","BLOCKED_FORBIDDEN_FILE_EXTENSION","RED","256680542","Keyboard/proprietary or high-risk extension. Copy/write/export remains blocked.","REQUEST_SEPARATE_APPROVAL_PHASE","Root backup file. Keep isolated. Requires a separate written approval phase before any further handling.","FINAL_ISOLATE_FOR_SEPARATE_APPROVAL","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0002","V1712-R0002",".mxp","NEWNAME.SET","NEWNAME.SET\GLOBAL\MXPRESET.MXP","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","1943","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0003","V1712-R0003",".gbl","NEWNAME.SET","NEWNAME.SET\GLOBAL\SETUP.GBL","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3381","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0004","V1712-R0004",".voc","NEWNAME.SET","NEWNAME.SET\GLOBAL\VPPRESET.VOC","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","34304","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0005","V1712-R0005",".kmp","NEWNAME.SET","NEWNAME.SET\MULTISMP\RAM.KMP","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","235247","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0006","V1712-R0006",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER01.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","17435","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0007","V1712-R0007",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER02.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","4547","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0008","V1712-R0008",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER03.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","15443","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0009","V1712-R0009",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER04.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3580","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
"V1713-F0010","V1712-R0010",".pad","NEWNAME.SET","NEWNAME.SET\PAD\USER05.PAD","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","3302","Source path is inside a keyboard .SET-style folder. Metadata review only.","KEEP_BLOCKED","Owner baseline decision: keep blocked. Metadata-only documentation allowed. No copy, no writer, no keyboard output.","FINAL_KEEP_BLOCKED","FINAL_OWNER_DECISION_WRITER","False","False","False","False","False","False","False","False"
